"Year","Month","SOI"
1876,"1876-Jan",10.8
1876,"1876-Feb",10.6
1876,"1876-Mar",-0.7
1876,"1876-Apr",7.9
1876,"1876-May",6.9
1876,"1876-Jun",14.2
1876,"1876-Jul",-5.2
1876,"1876-Aug",11.8
1876,"1876-Sep",10.5
1876,"1876-Oct",-7.9
1876,"1876-Nov",-2.8
1876,"1876-Dec",-4.3
1877,"1877-Jan",-7
1877,"1877-Feb",-7
1877,"1877-Mar",-7
1877,"1877-Apr",-7
1877,"1877-May",-7
1877,"1877-Jun",-7
1877,"1877-Jul",-9.5
1877,"1877-Aug",-7.6
1877,"1877-Sep",-16.5
1877,"1877-Oct",-16
1877,"1877-Nov",-12.3
1877,"1877-Dec",-13.9
1878,"1878-Jan",-9.4
1878,"1878-Feb",-22.9
1878,"1878-Mar",-14.7
1878,"1878-Apr",-8.2
1878,"1878-May",2.5
1878,"1878-Jun",-3.2
1878,"1878-Jul",14.8
1878,"1878-Aug",12.4
1878,"1878-Sep",17.5
1878,"1878-Oct",11.7
1878,"1878-Nov",14.4
1878,"1878-Dec",16.6
1879,"1879-Jan",12.1
1879,"1879-Feb",14.1
1879,"1879-Mar",10.8
1879,"1879-Apr",10.9
1879,"1879-May",2.5
1879,"1879-Jun",13.5
1879,"1879-Jul",20.2
1879,"1879-Aug",21.5
1879,"1879-Sep",18.7
1879,"1879-Oct",16.1
1879,"1879-Nov",9.3
1879,"1879-Dec",-6.8
1880,"1880-Jan",10.3
1880,"1880-Feb",7.2
1880,"1880-Mar",11.8
1880,"1880-Apr",4.3
1880,"1880-May",12.1
1880,"1880-Jun",7.2
1880,"1880-Jul",1.4
1880,"1880-Aug",13.6
1880,"1880-Sep",8.1
1880,"1880-Oct",5.4
1880,"1880-Nov",6.8
1880,"1880-Dec",-3.2
1881,"1881-Jan",-7.9
1881,"1881-Feb",-6.6
1881,"1881-Mar",0.7
1881,"1881-Apr",-0.1
1881,"1881-May",-3.4
1881,"1881-Jun",-4.6
1881,"1881-Jul",-5.2
1881,"1881-Aug",-10.6
1881,"1881-Sep",-12.9
1881,"1881-Oct",-24.4
1881,"1881-Nov",6.8
1881,"1881-Dec",3.5
1882,"1882-Jan",-7.5
1882,"1882-Feb",-2.2
1882,"1882-Mar",3.6
1882,"1882-Apr",0.6
1882,"1882-May",6.9
1882,"1882-Jun",-10.9
1882,"1882-Jul",-19.8
1882,"1882-Aug",-24
1882,"1882-Sep",-14.1
1882,"1882-Oct",-2.1
1882,"1882-Nov",2.3
1882,"1882-Dec",9
1883,"1883-Jan",5.5
1883,"1883-Feb",8.6
1883,"1883-Mar",-23.3
1883,"1883-Apr",12.3
1883,"1883-May",13.6
1883,"1883-Jun",2.4
1883,"1883-Jul",-9.5
1883,"1883-Aug",1.5
1883,"1883-Sep",-7.7
1883,"1883-Oct",5.4
1883,"1883-Nov",4.9
1883,"1883-Dec",-16.5
1884,"1884-Jan",-13.2
1884,"1884-Feb",-6.2
1884,"1884-Mar",7.4
1884,"1884-Apr",-14
1884,"1884-May",1.8
1884,"1884-Jun",7.2
1884,"1884-Jul",-2.8
1884,"1884-Aug",-4.6
1884,"1884-Sep",-6.5
1884,"1884-Oct",4.7
1884,"1884-Nov",-1.5
1884,"1884-Dec",-13.9
1885,"1885-Jan",-17.1
1885,"1885-Feb",0.7
1885,"1885-Mar",3.6
1885,"1885-Apr",-0.8
1885,"1885-May",-3.4
1885,"1885-Jun",-13
1885,"1885-Jul",-4.6
1885,"1885-Aug",-8.9
1885,"1885-Sep",-3.6
1885,"1885-Oct",-17.9
1885,"1885-Nov",-15.4
1885,"1885-Dec",3.9
1886,"1886-Jan",-1.2
1886,"1886-Feb",0.7
1886,"1886-Mar",1.7
1886,"1886-Apr",8.5
1886,"1886-May",6.2
1886,"1886-Jun",3.8
1886,"1886-Jul",6.9
1886,"1886-Aug",13
1886,"1886-Sep",13.4
1886,"1886-Oct",14.2
1886,"1886-Nov",9.9
1886,"1886-Dec",13
1887,"1887-Jan",11.7
1887,"1887-Feb",10.6
1887,"1887-Mar",7.9
1887,"1887-Apr",7.9
1887,"1887-May",-3.4
1887,"1887-Jun",3.8
1887,"1887-Jul",4.5
1887,"1887-Aug",4.5
1887,"1887-Sep",5.2
1887,"1887-Oct",5.4
1887,"1887-Nov",-5.3
1887,"1887-Dec",3.9
1888,"1888-Jan",-3.6
1888,"1888-Feb",-3.2
1888,"1888-Mar",-11.3
1888,"1888-Apr",-21.3
1888,"1888-May",-8.5
1888,"1888-Jun",-14.4
1888,"1888-Jul",-15.5
1888,"1888-Aug",-8.2
1888,"1888-Sep",-8.8
1888,"1888-Oct",-14.8
1888,"1888-Nov",-12.3
1888,"1888-Dec",-3.8
1889,"1889-Jan",-26.6
1889,"1889-Feb",-2.7
1889,"1889-Mar",-25.3
1889,"1889-Apr",-0.8
1889,"1889-May",-1.2
1889,"1889-Jun",18.4
1889,"1889-Jul",1.4
1889,"1889-Aug",2.1
1889,"1889-Sep",11.1
1889,"1889-Oct",4.7
1889,"1889-Nov",22
1889,"1889-Dec",20.7
1890,"1890-Jan",20.3
1890,"1890-Feb",10.6
1890,"1890-Mar",11.8
1890,"1890-Apr",5.7
1890,"1890-May",4
1890,"1890-Jun",4.5
1890,"1890-Jul",-2.2
1890,"1890-Aug",-2.8
1890,"1890-Sep",9.3
1890,"1890-Oct",4.1
1890,"1890-Nov",2.3
1890,"1890-Dec",-0.7
1891,"1891-Jan",15.1
1891,"1891-Feb",-4.7
1891,"1891-Mar",-9.4
1891,"1891-Apr",3.5
1891,"1891-May",0.3
1891,"1891-Jun",-1.8
1891,"1891-Jul",-5.8
1891,"1891-Aug",-8.2
