YEAR,Month,NINO3.4
1982,2,26.54
1982,3,27.09
1982,4,27.83
1982,5,28.37
1982,6,28.35
1982,7,27.57
1982,8,27.76
1982,9,28.01
1982,10,28.5
1982,11,28.5
1982,12,28.85
1983,1,28.7
1983,2,28.54
1983,3,28.45
1983,4,28.49
1983,5,28.56
1983,6,28.16
1983,7,26.97
1983,8,26.46
1983,9,26.38
1983,10,25.75
1983,11,25.53
1983,12,25.49
1984,1,25.6
1984,2,26.57
1984,3,26.71
1984,4,27.27
1984,5,27.19
1984,6,26.68
1984,7,26.62
1984,8,26.36
1984,9,26.35
1984,10,26.02
1984,11,25.52
1984,12,25.16
1985,1,25.26
1985,2,25.81
1985,3,26.35
1985,4,26.71
1985,5,26.81
1985,6,26.63
1985,7,26.5
1985,8,26.27
1985,9,25.99
1985,10,26.03
1985,11,26.23
1985,12,26.05
1986,1,25.84
1986,2,25.95
1986,3,26.64
1986,4,27.29
1986,5,27.32
1986,6,27.38
1986,7,27.26
1986,8,27.09
1986,9,27.16
1986,10,27.28
1986,11,27.36
1986,12,27.47
1987,1,27.51
1987,2,27.55
1987,3,28.12
1987,4,28.25
1987,5,28.2
1987,6,28.42
1987,7,28.34
1987,8,28.1
1987,9,28.08
1987,10,27.74
1987,11,27.67
1987,12,27.41
1988,1,27.23
1988,2,26.95
1988,3,27.29
1988,4,27.26
1988,5,26.56
1988,6,26.01
1988,7,25.57
1988,8,25.47
1988,9,25.83
1988,10,24.76
1988,11,24.6
1988,12,24.63
1989,1,24.56
1989,2,25.26
1989,3,25.8
1989,4,26.49
1989,5,26.99
1989,6,27.03
1989,7,26.73
1989,8,26.18
1989,9,26.25
1989,10,26.22
1989,11,26.21
1989,12,26.44
1990,1,26.45
1990,2,26.74
1990,3,27.05
1990,4,27.74
1990,5,27.92
1990,6,27.44
1990,7,27.27
1990,8,26.99
1990,9,26.73
1990,10,26.95
1990,11,26.73
1990,12,26.86
1991,1,26.89
1991,2,26.87
1991,3,27.16
1991,4,27.89
1991,5,28.13
1991,6,28.1
1991,7,27.77
1991,8,27.5
1991,9,27.07
1991,10,27.41
1991,11,27.71
1991,12,28.14
1992,1,28.23
1992,2,28.28
1992,3,28.39
1992,4,28.81
1992,5,28.79
1992,6,28.12
1992,7,27.45
1992,8,26.82
1992,9,26.6
1992,10,26.27
1992,11,26.64
1992,12,26.78
1993,1,26.73
1993,2,27.07
1993,3,27.46
1993,4,28.13
1993,5,28.53
1993,6,27.86
1993,7,27.51
1993,8,26.86
